1, Real Madrid, Football, Spain, 3.26, 111, , UEFA Champignions League, , 1, 3.44, 4, 32 
2, Dallas Cowboys, American football, United States, 3.2, 53, , , , 0, 2.3, 1, 5
2, New York Yankees,Baseball, United States, 3.2, 112, , , , 0, 2.3, 0, 27
4, FC Barcelona, Football, Spain, 3.16, 114, La Liga; Copa del Rey, UEFA Super Cup, FIFA Club World Cup, 4, 3.2, 2, 22
5, Manchester United, Football, England, 3.1, 135, FA Cup, , , 1, 2.82, 0, 20
6, Los Angeles Lakers, Basketball, United States, 2.6, 67, , , , 0, 1.35, 0, 16
6, New England Patriots, American football, United States, 2.6, 54, AFC East, , , 1, 1.8, 2, 3
8, New York Knicks, Basketball, United States, 2.5, 67, , , , 0, 1.4, 0, 2
9, Los Angeles Dodgers, Baseball, United States, 2.4, 130, West Division Title, , , 1, 2.0, 1, 6
11,	Washington Redskins, American football, United States, 2.35, 81, NFC East, , , 1, 1.7, 0, 3
11,	Bayern Munich, Football, Germany, 2.35, 113, Bundesliga; DFB-Pokal, , , 2, 1.85, 1, 23
12,	Boston Red Sox,	Baseball, United States, 2.1, 112, , , , 0, 1.50, 0, 7
12, New York Giants,	American football,	 United States, 2.1, 88, , , , 0, 1.55, 0, 4
14,	Chicago Bulls,	Basketball,	 United States,	2, 47, , , , 0, 1.0, 0, 6
14, San Francisco Giants,	Baseball,	 United States, 2, 130, , , , 0, 1.0, 2, 7
16,	Houston Texans,	American football,	 United States,	1.85, 11, AFC South, , , 1, 1.45, 0, 0
17,	Chicago Cubs,	Baseball,	 United States,	1.8, 143, , , , 0, 1.2, 0, 2
17, New York Jets,	American football,	 United States, 1.8, 52, , , , 0, 1.38, 0, 1
19,	Philadelphia Eagles,	American football,	 United States,	1.75, 82, , , , 0, 1.314, 0, 0
20,	Boston Celtics,	Basketball,	 United States,	1.7, 66, , , , 0, 0.875, 0, 4
